name,address,booth,fax,phone,website,twitter,facebook,instagram,linkedin,url
Haimer USA,"134 E. Hill Street Villa Park, IL 60181USA",1517,(630) 833-1507,(630) 833-1500,http://www.hairmer-usa.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1517
IBID Machinery Auctions,"820 Oakhaven Drive Roswell, GA 30075USA",1523,fax not availabl,(888) 375-0384,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1523
Geneva Capital LLC,"1311 Broadway Street Alexandria, MN 56308USA",1528,(320) 762-8402,(320) 762-8400,http://www.gogc.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1528
Neway Packaging Corp,"6330 Polaris Ave. Las Vegas, NV 89118USA",1529,fax not availabl,(702) 566-5005,https://www.newaypkgshop.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1529
Northtech Machine LLC,"102 Walnut Street Borden, IN 47106USA",1535,(812) 967-7401,(812) 967-7400,https://northtechmachine.com/,Twitter not availabl,https://www.facebook.com/NorthtechMachine,https://www.instagram.com/northtechmachine/,https://www.linkedin.com/in/northtech-machine-llc-687938129,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1535
Machine Tool Camp,"1233 International Drive Eau Claire, WI 54701USA",1547,fax not availabl,(715) 797-4507,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1547
"Yaskawa America, Inc.","2121 Norman Dr. South Waukegan, IL 60085USA",1557,8478877310,(847) 887-7000,http://www.yaskawa.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1557
VTM Enterprises,"7251 West Lake Mead Blvd Suite 300 Las Vegas, NV 89128USA",1601,(702) 778-2575,(702) 721-1211,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1601
Krautzberger North America,"7128 Farm Station Road Vint Hill, VA 20187USA",1612,(540) 347-0770,(540) 349-5358,http://www.krautzberger.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1612
Kendrick Forest Products,"601 S. Washington St PO Box 457 Edgewood, IA 52042USA",1613,(563) 928-7215,(563) 928-6431,https://www.kfpiowa.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1613
MoneyCapital Equipment Finance,"18251 west desert sage dr Goodyear, Arizona 85338USA",1614,fax not availabl,16023769883,http://moneycapitalfinance.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1614
"Gyokucho Trading Co., Ltd.","58-14, Omura, Miki-City, Hyogo-Pref. 673-0404Japan",1617,+81-(0)794-83-3479,+81-(0)794-83-2277,http://www.gyokucho.co.jp/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1617
Dackor 3D Laminates,"310 E. Crown Point Rd. Winter Garden, FL 34787USA",1618,fax not availabl,(407) 654-5013,http://www.dackor.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1618
Next Wave CNC,"600 West Boundary Perrysburg, OH 43551United States",1623,fax not availabl,(419) 320-3039,http://www.nextwavecnc.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1623
Koch LP,"106 Northpoint PKWY STE 4000 Acworth, GA 30102USA",1629,(678) 444-5100,(678) 444-5000,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1629
Mintech Inc.,"9380 7th St. Ste A Rancho Cucamonga, CA 91730USA",1657,fax not availabl,(909) 755-1011,http://www.mintechcnc.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1657
"Burkle North America, Inc.","4501 Green Point Drive, Suite 108 Greensboro, NC 27410USA",1663,fax not availabl,(336) 660-2701,http://www.burkle.tech/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1663
"Yes Media Co., Ltd.","02 Floor, Rosana Tower, No 60 Nguyen Dinh Chieu Str., Ho Chi Minh City, 70000Vietnam",1670,84 28 2220 2201,84 909 132 668,https://vietnammanufacturers.vn/en,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1670
"United Service Organizations, Inc. (USO)","5757 Wayne Newton Road Las Vegas, NV 89119USA",1673,fax not availabl,(702) 497-3746,http://www.nevada.uso.org/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1673
SNX Technologies,"315 Industrial Drive Sauk Rapids, MN 56379USA",1701,(320) 258-0801,(320) 267-2659,http://www.snxtechnologies.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1701
HafcoVac,"301 Greenwood Ave Midland Park, NJ 07432USA",1712,(201) 447-1065,(201) 447-0433,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1712
Total Finishing Solutions,"770 E Opal Ct Hermiston, OR 97838USA",1713,fax not availabl,(503) 753-5131,http://www.totalfinishingsolutions.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1713
Colombo USA,"1500 River Drive Suite 255 Belmont, NC 28012USA",1716,fax not availabl,(704) 962-9644,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1716
"Komo Machine, Inc.","1 Komo Drive Lakewood, NJ 08701USA",1723,(732) 579-5443,(800) 255-5670,https://komo.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1723
KATAY MAKINE MUH. OTOMOTIV SAN. VE TIC. LTD. STI.,"75. YIL OSB MAH. 109. CAD. NO:9 ODUNPAZARI ESKISEHIR, ESKISEHIR 26250Turkey",1735,fax not availabl,9.02222E+11,http://www.katay.com.tr/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1735
Vanguard Digital Printing Systems,"2410 Tech Center Parkway, Ste 125 Lawrenceville, GA 30043United States of America",1739,fax not availabl,4703263790,https://vanguarddigital.com/,Twitter not availabl,https://www.facebook.com/vanguarddigital,https://www.instagram.com/vanguarddigital/,https://www.linkedin.com/company/vanguard-digital-printing-systems/,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1739
Vecoplan,"5708 Uwharrie Rd Archdale, NC 27263-4168United States of America",1747,fax not availabl,3368616070,http://www.vecoplan.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1747
"Maksiwa International, Inc.","990 South Rogers Circle #11 Boca Raton, Florida 33487United States",1755,fax not availabl,7542056717,http://www.maksiwa.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1755
Vectric Ltd,"Precision House, 2 Arden Road Alcester, Warwickshire B49 GHNUnited Kingdom",1763,fax not availabl,44 1527 850 323,https://www.vectric.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1763
Ascentium Capital,"23970 Highway 59 North Kingwood, TX 77339USA",1765,(281) 921-3544,(281) 902-1444,http://www.ascentiumcapital.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1765
Flexaust Company,"1510 Armstrong Rd, Po Box 4275 Warsaw, IN 46581USA",1835,(800) 382-8464,(574) 371-3217,https://www.flexaust.com/,Twitter not availabl,https://www.facebook.com/profile.php?id=100063543581089,Instagram not availabl,https://www.linkedin.com/company/2085947/admin/dashboard/,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1835
"Jiangsu HQD Spindle Motor Co., Ltd.","No. 11 Zhongyang Road, Zhenxi Industry Zone, Henglin Town, Wujin District Changzhou, Jiangsu 213103China",1839,0086-519-88726795,0086-519-88721728,http://www.han-qi.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1839
"Flamex, Inc.","4365 Federal Drive Greensboro, NC 27410USA",1841,(336) 299-2944,(336) 299-2933,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1841
"ShopBot Tools, Inc.","3333 Industrial Dr. Durham, NC 27704USA",1847,(919) 680-4900,(919) 680-4800,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1847
7robotics,"4380 N Umpqua Hwy Roseburg, OR 97470USA",1863,fax not availabl,(541) 236-7105,http://7robotics.com/,Twitter not availabl,https://www.facebook.com/7robotics,https://www.instagram.com/7robotics,https://www.linkedin.com/company/7robotics,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1863
"Well Run Technology CO., LTD","No. 10, Keji 3rd Rd. Anna Dist Tainan City, Taiwan 70955",1864,88663842139,88663842175,http://www.wellrun.com.tw/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1864
Rodman Drill,"7210 Jordan Ave #D-5 Canoga Park, CA 91303USA",1865,fax not availabl,8182682945,http://www.rodmandrill.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1865
Voorwood Company,"2350 Barney St. Anderson, CA 96007USA",1901,(530) 365-6674,(530) 365-3311,http://www.voorwood.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1901
"Better Vacuum Cups, Inc.","215 Hershey Street Pomona, CA 91767USA",1913,fax not availabl,9096060140,https://bettervacuumcups.com/,https://twitter.com/BetterVacuumCup,https://www.facebook.com/Greenbvc/,https://www.instagram.com/bettervacuumcups/,https://www.linkedin.com/company/better-vacuum-cups-inc./,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1913
RUF Briquetting Systems,"771 Sugar Lane Elyria, Ohio 44035USA",1917,(440) 328-4626,(440) 779-2747,https://www.ruf-briquetter.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1917
"Dynabrade, Inc.","8989 Sheridan Drive Clarence, NY 14031USA",1923,(716) 631-2073,(716) 631-0100,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1923
Unimak Muh. Hiz. Ve Mak. San. Tic. Ltd. Stl,"Tuzla Kimya Sanayicileri O.S.B. Analitik CD No. 40 Aydinli, Tuzla Istanbul, Istanbul 34956Turkey",1931,0090 216 593 14 26,0090 216 593 15 80,http://www.unimak.tc/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1931
"Kleiberit Adhesives USA, Inc.","109-B Howie Mine Road, P.O. Box 1319 Waxhaw, NC 28173USA",1947,(704) 843-4930,(704) 843-3339,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1947
Giardina USA,"4850 Crittenden Drive Suite 4B Louisville, KY 40209USA",1955,(502) 361-2003,(502) 361-1003,http://www.giardinausa.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1955
PantoRouter,"20580 South May Rd Oregon City, OR 97045USA",1963,(877) 333-7150,(503) 650-9833,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1963
JKL Machinery,"7795 Lochlin Dr. Brighton, MI 48116USA",2000,fax not availabl,(248) 491-3511,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2000
Gibbs Group NA,"1039 Brockton Road Jefferson, GA 30549USA",2013,(603) 415-2645,770-842-2539,https://gibbsgroupna.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2013
ENTECCO Filter Technology,"200 Kapp St Winston-Salem, NC 27105USA",2017,fax not availabl,(336) 989-3012,http://www.entecco.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,https://www.linkedin.com/company/14798352/admin/feed/posts/,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2017
Leitz Tooling Systems LP,"4301 East Paris Ave. SE Grand Rapids, MI 49512USA",2023,(616) 698-2431,(616) 431-4072,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2023
Wood-Mizer LLC,"8180 West 10th Street Indianapolis, IN 46214USA",2025,(317) 273-1011,800-553-0182,https://woodmizer.com/us,https://twitter.com/woodmizer_usa,https://www.facebook.com/WoodMizerUSA/,https://www.instagram.com/woodmizer/,https://www.linkedin.com/company/wood-mizer-products/,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2025
NuTek Machinery,"24300 Solon Rd Suite I Bedford, OH 44146USA",2033,fax not availabl,(216) 904-0215,http://www.nutekmachinery.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2033
SurfPrep Sanding,"571 Birch St. Lake Elsinore, CA 92530USA",2047,(951)245-4299,(951) 452-9667,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2047
"Preston Machinery, LLC","1933 125th Ave. Hopkins, MI 49328USA",2053,fax not availabl,(269) 685-7591,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2053
Green Fast Cure LLC,"3516 E US HWY 50 WASHINGTON, IN 47501USA",2059,(812) 486 2714,8123098757,http://www.greenfastcure.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2059
H.M.T. Manufacturing Inc,"2323 Commonwealth Ave. North Chicago, IL 60064USA",2063,(847) 473-2349,(847) 473-2310,http://www.hmtmfg.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2063
Envirolak Coatings,"4800 Eastgate Parkway Mississauga, ON L4W 3W6Canada",2071,(905) 629-7865,(905) 629-7007,http://www.envirolak.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2071
Taco Tools,"1500 W. Copans Rd. Suite A8 Pompano Beach, FL 33073United States of America",2075,fax not availabl,754-308-1576,http://www.tacotools.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2075
"TAWI USA, Inc.","380 Internationale Dr., Suite A Bolingbrook, IL 60440United States",2123,fax not availabl,(630) 6552905,http://www.tawi.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2123
Taurus Craco Machinery Inc.,"282 Orenda Rd Brampton, Ontario L6T4X6Canada",2159,(905) 451-2193,(905) 451-8430,http://www.tauruscraco.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2159
Novalk Coatings,"Calle Huesca 5 Lucena, Cordoba 14900Spain",2171,fax not availabl,34957509829,http://www.novalk.es/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2171
Northwood Machine Manufacturing Co,"11610 Commonwealth Dr. Louisville, KY 40299USA",2212,(502) 267-2332,(502) 267-5504,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2212
imos AG,"Planckstraße 24 Herford, North Rhine Westfalia 32052Germany",2227,fax not availabl,0049 5221 976 0,https://www.imos3d.com/en/,Twitter not availabl,https://www.facebook.com/imosAg/,https://www.instagram.com/imos_ag/,https://www.linkedin.com/company/imos-ag/,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2227
James L. Taylor Mfg.,"130 Salt Point Turnpike Poughkeepsie, NY 12603USA",2246,(845) 452-0764,(845) 452-3780,http://www.jamesltaylor.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2246
Schmalz Inc.,"5850 Oak Forest Drive Raleigh, NC 27616USA",2300,(919) 713-0883,(919) 865-0566,http://www.schmalz.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2300
Tufbuilt Hardware Inc.,"4002 S Ross Ln Chanute, KS 66720USA",2312,fax not availabl,1877-733-5883,http://www.tufbuilthhardware.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2312
SonicAire,"3831 Kimwelll lDrive Winston Salem, NC 27103USA",2316,fax not availabl,(336) 712-2437,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2316
Castle USA,"1364 N. McDowell Blvd. Ste.1 Petaluma, CA 94954USA",2322,(707) 765-0953,(707) 765-0982,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2322
"Timesavers, LLC","11123 89th Ave North Maple Grove, MN 55369United States of America",2323,fax not availabl,7634886600,http://timesaversinc.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2323
Leasing Resources Inc.,"19607 W Catawba Ave, Suite 103 Cornelius, NC 28031USA",2332,(888) 685-1416,(704) 895-8888,http://www.goleasing.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2332
"Dodds Company, Alexander","1740 Chicago Dr SW Wyoming, MI 49519USA",2333,(616) 784-8329,(616) 784-6000,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2333
"RazorGage, Technical Services, Inc","57006 241st Street Ames, IA 50010USA",2338,(515) 232-2953,(515) 232-3188,https://razorgage.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2338
Felder Group USA,"2 Lukens Drive Suite 300 New Castle, DE 19720USA",2346,(302) 322-9865,(866) 792-5288,http://www.feldergroupusa.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2346
"All Star CNC Products, Inc","13355 Grass Valley Ave, Suite B Grass Vally, CA 95945USA",2358,5306152273,(800) 878-7827,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2358
BARBERAN S.A,"Galileo 3-9 Castelldefels, NA 08860Spain",2370,34.93.636.15.55,011 34 93 635 08 10,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=2370
